name,code,country,lat,lon,elev,style,rwdir,rwlen,rwwidth,freq,desc
"Meadowbrook","6MA2",US,4251.600N,07059.717W,118ft,2,120,2000ft,75ft,,"6MA2, Private, 12/30 20T, RW width: 75"
"Meerwarth","6NK2",US,4257.033N,07320.083W,640ft,2,160,2200ft,100ft,,"6NK2, Private, RW width: 100"
"Melrose Springs","VT73",US,4356.700N,07319.017W,300ft,2,50,1700ft,50ft,,"VT73, Private, RW width: 50"
"Melvin Village","MELVNVLG",US,4342.500N,07117.133W,669ft,0,,,,,"NH24, 13/31 23T"
"Meriden Markham","MMK",US,4130.517N,07249.767W,102ft,5,176,3100ft,75ft,122.8,"MMK, 18/36 31A, RW width: 75, UNICOM: 123.05, Fuel: 100LL"
"Merrymeeting","08B",US,4400.000N,06953.233W,61ft,2,140,1935ft,100ft,122.9,"08B, RW width: 100, CTAF: 122.9"
"Metenosky Aviation","METENSKV",US,4144.860N,07217.820W,560ft,3,,,,,"CT10, Landable"
"Middlebury","6B0",US,4359.120N,07305.730W,490ft,5,13,3000ft,50ft,122.8,"6B0, RW width: 50, UNICOM: 122.8, Fuel: 100LL"
"Mile Creek","5CT7",US,4118.133N,07217.767W,30ft,2,20,1800ft,100ft,,"5CT7, Private, RW width: 100"
"Miller Farm","VT47",US,4246.730N,07231.700W,330ft,2,180,1800ft,100ft,,"VT47, Private, RW width: 100"
"Minute Man Airport","6B6",US,4227.670N,07131.120W,260ft,2,33,1600ft,70ft,122.8,"6B6, 03/21 27A, RW width: 70, UNICOM: 122.8, Fuel: 100LL"
"Monadnock","MONADNCK",US,4251.683N,07206.480W,3173ft,0,,,,,
"Moody","21ME",US,4340.633N,07025.350W,148ft,2,150,1200ft,66ft,,"21ME, Private, RW width: 66"
"Moore","01NH",US,4338.660N,07205.210W,840ft,3,170,600ft,100ft,,"01NH, Landable, RW width: 100"
"Moore AAF","MOOREAAF",US,4234.200N,07136.167W,260ft,0,,,,,
"Moore's Field","MOORSFLD",US,4255.450N,07231.780W,310ft,3,,,,,"VT41, Landable, 03/21 18T"
"Mormon","MORMON",US,4234.400N,07227.400W,650ft,3,,1100ft,,,"Landable"
"Morristown","MMU",US,4047.967N,07424.900W,187ft,5,49,5998ft,150ft,118.1,"MMU, RW width: 150, ATIS: 124.25, Tower: 118.1, Fuel: 100LL"
"Morrisville","MVL",US,4432.067N,07236.833W,732ft,5,14,3700ft,75ft,122.8,"MVL, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Mortimer Brown Landing","1VT8",US,4339.880N,07309.970W,850ft,2,180,1650ft,80ft,,"1VT8, Private, RW width: 80"
"Moseleys","MOSELEYS",US,4254.338N,07325.723W,540ft,0,,,,,"NY67, 18/36 20T"
"Moultonboro","53NH",US,4346.100N,07123.200W,571ft,5,20,3475ft,50ft,122.8,"NH08, Private, 02/20 36A, RW width: 50, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Mount Washington","HIE",US,4422.050N,07132.670W,1070ft,5,104,4001ft,75ft,122.8,"HIE, 10/28 35A, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Mountain Meadow","MTNMEADW",US,4146.240N,07300.610W,1020ft,0,,,,,"22B, 01/19 34A"
"Mountain View Farm","VT64",US,4430.917N,07238.467W,1200ft,2,20,1500ft,60ft,,"VT64, Private, RW width: 60"
"Mountain View NH","NH31",US,4339.000N,07108.970W,965ft,2,140,3000ft,105ft,,"NH31, Private, 14/32 30T, RW width: 105"
"Mountain View NY 1","14NK",US,4320.400N,07328.733W,243ft,2,20,1800ft,50ft,122.725,"14NK, Private, RW width: 50, UNICOM: 122.725"
"Mountain View NY 2","4NY0",US,4440.133N,07332.767W,500ft,2,20,1800ft,75ft,,"4NY0, Private, RW width: 75"
"Mt Snow Deerfield","4V8",US,4255.620N,07251.940W,1950ft,5,5,2650ft,75ft,122.8,"4V8, 01/19 27A, RW width: 75, UNICOM: 122.8"
"Mundale","MA80",US,4207.270N,07248.760W,280ft,3,30,1300ft,50ft,,"MA80, Landable, 03/21 16T, RW width: 50"
"Murphy-Sherwood Park","NH43",US,4310.767N,07108.217W,200ft,2,120,1750ft,75ft,,"NH43, Private, RW width: 75"
"Murphys Landing","0NY7",US,4302.250N,07411.050W,940ft,2,40,2000ft,75ft,,"0NY7, Private, RW width: 75"
"Muschopauge","MUSCHOPG",US,4223.240N,07155.230W,1090ft,3,,2700ft,,,"Landable"
"Myricks","1M8",US,4150.333N,07101.550W,72ft,2,90,2466ft,50ft,122.9,"MA18, 09/27 22T, RW width: 50, CTAF: 122.9, Fuel: 100LL"
"Mystery Farm","MYSTRFRM",US,4144.020N,07131.690W,310ft,0,,,,,"RI20, 17/35 7T"
"Nadeau's","02ME",US,4332.233N,07055.767W,700ft,2,140,2400ft,60ft,,"02ME, Private, RW width: 60"
"Nettie's Place","NK83",US,4242.600N,07413.417W,1330ft,2,90,2000ft,100ft,,"NK83, Private, RW width: 100"
"New Bedford","EWB",US,4140.567N,07057.400W,79ft,5,54,5400ft,150ft,118.1,"EWB, 05/23 50A, RW width: 150, ATIS: 126.85, Tower: 118.1, UNICOM: 122.95, Fuel: 100LL"
"New England","NEWNGLND",US,4245.472N,07114.570W,128ft,0,,,,,"NH29, E/W 20T"
"Newfound","2N2",US,4335.470N,07145.100W,510ft,5,30,1900ft,40ft,122.9,"NH01, 03/21 18A, RW width: 40, CTAF: 122.9, Turn Point"
"Newport RI","UUU",US,4131.946N,07116.893W,172ft,5,39,2999ft,75ft,123.05,"UUU, 04/22 30A, RW width: 75, UNICOM: 123.05, Fuel: 100LL"
"Newport VT","EFK",US,4453.317N,07213.733W,928ft,5,177,5000ft,100ft,122.8,"EFK, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"Newton Dirt","NEWTNDRT",US,4237.283N,07154.500W,1220ft,3,,1700ft,,,"Landable"
"Norfolk","NORFOLK",US,4207.500N,07122.250W,140ft,3,,,,,"MA07, Landable, 18/36 27A"
"Norm's","31MA",US,4215.720N,07224.520W,460ft,3,150,1000ft,150ft,,"31MA, Landable, RW width: 150"
"North Canaan","CT24",US,4202.717N,07320.317W,659ft,2,30,3100ft,75ft,,"CT24, Private, 03/21 31T, RW width: 75"
"North Central","SFZ",US,4155.160N,07129.610W,440ft,5,47,5000ft,100ft,123.075,"SFZ, 05/23 50A, RW width: 100, UNICOM: 123.075, Fuel: 100LL"
"North Row","N ROW",US,4228.783N,07146.266W,620ft,3,,1200ft,,,"Landable"
"North Windham","NWINDHAM",US,4313.280N,07242.800W,1750ft,3,,,,,"VT05, Landable, 09/27 23T"
"Northampton","7B2",US,4219.680N,07236.670W,120ft,5,143,3335ft,50ft,122.7,"7B2, 14/32 35A, RW width: 50, UNICOM: 122.7, Fuel: 100LL, Turn Point"
"Northern Lights","VT46",US,4452.317N,07317.183W,131ft,2,30,2000ft,80ft,122.8,"VT46, Private, RW width: 80, UNICOM: 122.8"
"Northfield","NORTHFLD",US,4236.333N,07228.700W,260ft,3,,2000ft,,,"Landable"
"Northway","NY97",US,4440.000N,07333.967W,420ft,2,180,2100ft,100ft,,"NY97, Private, RW width: 100"
"Northwood","NH84",US,4312.450N,07113.267W,640ft,2,120,2300ft,75ft,,"NH84, Private, RW width: 75"
"Norwood Memorial","OWD",US,4211.433N,07110.383W,49ft,5,170,4008ft,100ft,126.0,"OWD, 10/28 40A, RW width: 100, ATIS: 119.95, Tower: 126.0, Fuel: 100LL"
"Old Orchard","2NK9",US,4139.433N,07404.633W,660ft,2,180,2800ft,100ft,122.9,"2NK9, Private, RW width: 100, CTAF: 122.9"
"Old Rhinebeck","NY94",US,4158.289N,07351.775W,323ft,2,180,2200ft,75ft,,"NY94, Private, N/S 22D, RW width: 75"
"Onyon","VT43",US,4301.070N,07239.150W,420ft,3,120,1700ft,100ft,,"VT43, Landable, 12/30 20T, RW width: 100"
"Orange","ORE",US,4234.200N,07217.300W,550ft,5,16,4999ft,75ft,122.8,"ORE, 01/19 50A, RW width: 75, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Orange County","MGJ",US,4130.717N,07415.817W,370ft,5,36,5006ft,100ft,122.725,"MGJ, RW width: 100, UNICOM: 122.725, Fuel: 100LL"
"Orange Poultry Farm","4NY1",US,4119.667N,07419.483W,420ft,2,45,2000ft,150ft,,"4NY1, Private, RW width: 150"
"Otis ANGB","FMH",US,4139.500N,07031.283W,131ft,5,142,9501ft,150ft,128.425,"FMH, Private, RW width: 150, ATIS: 120.475, Tower: 128.425, Fuel: 100"
"Oxford County","81B",US,4409.450N,07028.883W,345ft,5,148,2997ft,75ft,122.8,"81B, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Papp","16NY",US,4315.117N,07333.800W,206ft,2,180,1850ft,50ft,,"16NY, Private, RW width: 50"
"Parlin Field","2B3",US,4323.250N,07211.180W,780ft,5,180,3448ft,80ft,122.8,"2B3, 18/36 19T, RW width: 80, UNICOM: 122.8, Fuel: 100LL, Turn Point"
"Patriot Farm","PATRTFRM",US,4249.870N,07206.290W,1260ft,3,,1500ft,,,"Landable"
