name,code,country,lat,lon,elev,style,rwdir,rwlen,rwwidth,freq,desc
"Sterling","3B3",US,4225.570N,07147.630W,454ft,4,160,3086ft,40ft,122.9,"3B3, RW width: 40, CTAF: 122.9, Fuel: 100LL, Home Field, Start Point, Finish Point"
"Stewart","SWF",US,4130.250N,07406.283W,491ft,5,92,11817ft,150ft,122.95,"SWF, RW width: 150, ATIS: 124.575, Tower: 121.0, UNICOM: 122.95, Fuel: 100LL"
"Stiles Res","STILESRS",US,4212.283N,07157.116W,950ft,3,,1900ft,,,"Landable"
"Stonington Airpark","CT80",US,4120.833N,07153.150W,7ft,2,40,1700ft,50ft,,"CT80, Private, 04/22 17T, RW width: 50"
"Stormville","N69",US,4134.619N,07343.941W,358ft,5,58,3315ft,50ft,122.8,"N69, 06/24 33A, RW width: 50, UNICOM: 122.8"
"Stratham Field","STRTHMFL",US,4259.800N,07055.650W,52ft,0,,,,,"NH30, 10/28 14G"
"Sugarloaf","B21",US,4505.133N,07012.983W,885ft,5,166,2900ft,75ft,122.8,"B21, RW width: 75, UNICOM: 122.8, Fuel: 100LL/MOGAS"
"Sunny","SUNNY",US,4236.833N,07151.483W,1040ft,3,,1800ft,,,"Landable"
"Sunside","74NK",US,4219.633N,07403.783W,360ft,2,150,2500ft,100ft,,"74NK, Private, RW width: 100"
"Swans","3S2",US,4430.850N,07024.417W,418ft,2,139,1808ft,40ft,122.9,"3S2, RW width: 40, CTAF: 122.9"
"Symon","66VT",US,4352.960N,07317.175W,300ft,3,20,1000ft,60ft,,"66VT, Landable, RW width: 60"
"Tamarack Acres","38NK",US,4259.500N,07409.200W,761ft,2,100,1900ft,200ft,,"38NK, Private, RW width: 200"
"Tanner-Hiller","8B5",US,4221.380N,07207.810W,590ft,5,60,3027ft,40ft,123.0,"8B5, 06/24 28A, RW width: 40, UNICOM: 123.0, Turn Point"
"Taunton Muni","TAN",US,4152.467N,07101.000W,43ft,5,124,3500ft,75ft,122.7,"TAN, 04/22 16T, RW width: 75, UNICOM: 122.7, Fuel: 100LL, Turn Point"
"Taylor","VT39",US,4436.450N,07228.817W,1138ft,2,315,2000ft,100ft,,"VT39, Private, RW width: 100"
"Theodore Francis Green","PVD",US,4143.411N,07125.603W,55ft,5,47,7166ft,150ft,120.7,"PVD, 05/23 72A, RW width: 150, Tower: 120.7, Fuel: 100LL"
"Therriaults Landing","56NH",US,4328.867N,07103.417W,675ft,2,150,3000ft,100ft,,"56NH, Private, RW width: 100"
"Thomas","ME17",US,4439.617N,07035.283W,670ft,2,10,1800ft,75ft,,"ME17, Private, RW width: 75"
"Thomson","5CT5",US,4137.933N,07312.967W,820ft,2,10,1600ft,100ft,,"5CT5, Private, RW width: 100"
"Tib","40ME",US,4406.350N,07057.367W,450ft,2,180,2900ft,80ft,,"40ME, Private, RW width: 80"
"Ticonderoga","4B6",US,4352.633N,07324.783W,274ft,5,17,4041ft,60ft,122.8,"4B6, RW width: 60, UNICOM: 122.8, Fuel: 100LL"
"Torrey","TORREY",US,4355.917N,07322.200W,279ft,0,,,,,
"Toutant","C44",US,4157.340N,07203.260W,770ft,5,170,1756ft,60ft,122.9,"CT04, 17/35 18S, RW width: 60, CTAF: 122.9"
"Tracy","4NK2",US,4308.717N,07325.183W,455ft,2,10,2000ft,75ft,,"4NK2, Private, RW width: 75"
"Tucker Farm","94NH",US,4328.610N,07144.880W,620ft,2,120,900ft,50ft,,"94NH, Private, RW width: 50"
"Tufts Vet","TUFTSVET",US,4214.950N,07140.417W,450ft,3,,3900ft,,,"Landable"
"Turners Falls","0B5",US,4235.510N,07231.400W,350ft,5,158,3200ft,75ft,123.0,"0B5, 16/34 30A, RW width: 75, UNICOM: 123.0, Fuel: 100LL, Turn Point"
"Tweed-New Haven","HVN",US,4115.817N,07253.200W,13ft,5,16,5600ft,150ft,124.8,"HVN, 02/20 56A, RW width: 150, ATIS: 133.65, Tower: 124.8, UNICOM: 122.95, Fuel: 100LL"
"Twin Eagles","71ME",US,4358.017N,07036.067W,280ft,2,140,1100ft,50ft,,"71ME, Private, RW width: 50"
"Twin Mountain","8B2",US,4415.840N,07132.820W,1450ft,5,90,2660ft,60ft,122.8,"8B2, 09/27 26A, RW width: 60, UNICOM: 122.8"
"Twitchell","3B5",US,4411.333N,07013.967W,355ft,2,110,2151ft,100ft,122.8,"3B5, RW width: 100, UNICOM: 122.8, Fuel: 100LL/MOGAS"
"Two Tails","VT42",US,4430.750N,07236.417W,754ft,2,120,1700ft,150ft,,"VT42, Private, RW width: 150"
"Valley Farms","VALLFRMS",US,4200.810N,07228.370W,220ft,0,,,,,"CT29, 18/36 25A"
"Valley View","7NK0",US,4238.850N,07423.233W,1160ft,2,140,3000ft,75ft,,"7NK0, Private, RW width: 75"
"Vasile","NY60",US,4445.750N,07333.550W,580ft,2,90,1850ft,130ft,,"NY60, Private, RW width: 130"
"Wachusett","WACHUSTT",US,4229.344N,07153.216W,2006ft,0,,,,,
"Wales","ME6",US,4410.467N,07001.133W,210ft,2,40,2100ft,80ft,122.9,"ME6, RW width: 80, CTAF: 122.9"
"Wandervogel","NY77",US,4243.083N,07409.800W,1260ft,4,90,2100ft,70ft,,"NY77, Private, RW width: 70"
"Ward Field","NH20",US,4329.490N,07138.660W,450ft,5,40,1100ft,70ft,,"NH20, Private, 04/22 11A, RW width: 70"
"Ware","MA53",US,4216.960N,07212.920W,480ft,3,27,2030ft,150ft,,"UWA, Landable, 03/21 20T, RW width: 150"
"Warren-Sugarbush","0B7",US,4407.020N,07249.640W,1470ft,5,47,2570ft,30ft,123.0,"0B7, RW width: 30, UNICOM: 123.0, Fuel: 100LL"
"Warwick","N72",US,4117.250N,07417.233W,540ft,2,80,2250ft,80ft,123.0,"N72, RW width: 80, UNICOM: 123.0, Fuel: 100LL"
"Waterbury","N41",US,4138.000N,07302.800W,850ft,2,20,1600ft,250ft,122.9,"N41, 02/20 16T, RW width: 250, CTAF: 122.9, Turn Point"
"Waterbury-Oxford","OXC",US,4128.750N,07308.117W,728ft,5,185,5800ft,100ft,122.7,"OXC, 13/31 20A, RW width: 100, ATIS: 132.975, Tower: 118.475, UNICOM: 122.95, Fuel: 100LL"
"Waxwing","NY86",US,4230.750N,07406.883W,1680ft,2,170,1350ft,80ft,,"NY86, Private, RW width: 80"
"Wayne Delp","33NY",US,4223.967N,07351.967W,800ft,2,170,3000ft,100ft,,"33NY, Private, RW width: 100"
"Webster","ME91",US,4340.500N,07029.733W,200ft,2,100,1300ft,50ft,,"ME91, Private, RW width: 50"
"Wenskoski","0NY8",US,4259.833N,07414.717W,800ft,2,90,1700ft,100ft,,"0NY8, Private, RW width: 100"
"Wentworth","NH96",US,4352.380N,07154.280W,600ft,2,10,1900ft,150ft,,"NH96, Private, RW width: 150"
"West Burke","VT56",US,4436.783N,07158.850W,1286ft,2,10,1000ft,60ft,,"VT56, Private, 01/19 10T, RW width: 60"
"West Township","6NY4",US,4242.017N,07409.300W,1260ft,2,90,2000ft,50ft,,"6NY4, Private, RW width: 50"
"Westchester County","HPN",US,4104.017N,07342.450W,439ft,5,163,6549ft,150ft,118.575,"HPN, RW width: 150, Tower: 118.575, UNICOM: 122.95, Fuel: 100LL"
"Westerly","WST",US,4120.977N,07148.203W,81ft,5,68,4010ft,100ft,123.0,"WST, 07/25 40A, RW width: 100, UNICOM: 123.0, Fuel: 100LL"
"Westford Air","CT74",US,4157.120N,07210.880W,900ft,3,180,1300ft,200ft,,"CT74, Landable, N/S 13T, RW width: 200"
"Westover ARB","CEF",US,4211.840N,07231.800W,240ft,5,50,11598ft,301ft,134.85,"CEF, 05/23 116A, RW width: 301, ATIS: 127.525, Tower: 134.85, UNICOM: 122.95, Fuel: 100LL"
"Westport 1","12NK",US,4409.500N,07325.967W,276ft,2,10,2600ft,125ft,122.8,"12NK, Private, RW width: 125, UNICOM: 122.8"
"Westport 2","3MA5",US,4132.583N,07102.117W,79ft,2,170,2150ft,50ft,,"3MA5, Private, 17/35 22T, RW width: 50"
"Westwind Farm","0NK2",US,4259.000N,07400.967W,800ft,2,100,3000ft,100ft,,"0NK2, Private, RW width: 100"
"Whelan Farms","CT01",US,4139.967N,07311.333W,1020ft,2,10,2050ft,100ft,122.725,"CT01, Private, 01/19 14T, RW width: 100, UNICOM: 122.725"
"White Mountain","WHITEMTN",US,4349.217N,07108.033W,469ft,0,,,,,"NH14, 17/35 68G"
"William H. Morse","DDH",US,4253.470N,07314.780W,830ft,5,132,3704ft,75ft,122.8,"DDH, 13/31 37A, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Winchell Mountain","41NK",US,4156.867N,07331.083W,1141ft,2,160,2200ft,60ft,,"41NK, Private, RW width: 60"
"Windham","IJD",US,4144.660N,07210.820W,240ft,5,89,4271ft,100ft,122.7,"IJD, 09/27 43A, RW width: 100, UNICOM: 122.975, Fuel: 100LL, Turn Point"
"Windsock Village","NH69",US,4349.833N,07111.217W,459ft,2,150,4000ft,225ft,123.05,"NH69, Private, 15/33 40T, RW width: 225, UNICOM: 123.05"
"Windswept","23NH",US,4307.830N,07200.840W,1230ft,3,170,1200ft,40ft,,"23NH, Landable, RW width: 40"
"Wing-Over Farm","RI07",US,4134.740N,07108.503W,113ft,2,180,1200ft,100ft,,"RI07, Private, N/S 12T, RW width: 100"
"Wings Ago Air","CT42",US,4151.240N,07316.540W,1590ft,3,180,1600ft,40ft,,"CT42, Landable, 18/36 16T, RW width: 40"
"Winterwood","NH67",US,4258.700N,07100.567W,131ft,2,100,1600ft,30ft,,"NH67, Private, 10/28 16T, RW width: 30"
"Wiscasset","IWI",US,4357.683N,06942.750W,70ft,5,70,3397ft,75ft,122.8,"IWI, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Wolomolopoag","WOLOMLPG",US,4206.039N,07112.470W,276ft,0,,,,,"MA66, 10/28 16T"
"Woodbury Hill","WODBRHLL",US,4250.770N,07202.440W,1240ft,3,,1400ft,,,"Landable"
"Woodstock","64CT",US,4155.290N,07157.190W,450ft,5,10,2100ft,75ft,122.8,"01B, Private, 01/19 22A, RW width: 75, UNICOM: 122.8, Fuel: 100LL"
"Worcester Muni","ORH",US,4216.033N,07152.533W,985ft,5,109,7001ft,150ft,120.5,"ORH, 11/29 70A, RW width: 150, ATIS: 126.55, Tower: 120.5, UNICOM: 122.95, Fuel: 100LL"
"Wurtsboro-Sullivan County","N82",US,4135.833N,07427.500W,548ft,2,187,1250ft,150ft,122.8,"N82, RW width: 150, UNICOM: 122.8, Fuel: 100LL"
"Wychwood Field","CT48",US,4126.200N,07155.517W,315ft,2,180,1800ft,30ft,,"CT48, Private, 18/36 18T, RW width: 30, Turn Point"
"Wysocki Field","CT15",US,4156.690N,07228.640W,380ft,2,180,1800ft,50ft,,"CT15, Private, 18/36 18T, RW width: 50"
"Yankee Kingdom","VT53",US,4406.333N,07322.667W,200ft,2,80,1400ft,50ft,,"VT53, Private, RW width: 50"
"Zim","NH17",US,4243.650N,07143.090W,530ft,0,10,1400ft,150ft,,"NH17, 18/36 15T, RW width: 150"
"Zinck","90ME",US,4431.383N,07032.733W,620ft,2,50,1600ft,80ft,122.8,"90ME, Private, RW width: 80, UNICOM: 122.8"
"MA-NY-VT ",MANYVT,US,4244.726N,07315.885W,437.0m,1,0,0.0m,0.0m,,"MA-NY-VT boundary triplepoint",,""
"Sterling Powerline",Sterling_Powerline,,4226.670N,07149.161W,155.0m,1,,,,,,,""
-----Related Tasks-----
"Danielson-MA-NY-VT-Newfound","???","Sterling Powerline","Danielson","MA-NY-VT ","Newfound","Sterling Powerline","???"
Options,Short=false,MultiStart=false
ObsZone=0,Style=2,R1=3000m,A1=45,Line=1
ObsZone=4,Style=3,R1=3000m,A1=45,Line=1
"Newfound-MA-NY-VT-Danielson","???","Sterling Powerline","Newfound","MA-NY-VT ","Danielson","Sterling Powerline","???"
Options,Short=false,MultiStart=false
ObsZone=0,Style=2,R1=3000m,A1=45,Line=1
ObsZone=4,Style=3,R1=3000m,A1=45,Line=1
"Jaffrey-MA-NY-VT-Danielson","???","Sterling Powerline","Jaffrey","MA-NY-VT ","Danielson","Sterling Powerline","???"
Options,Short=false,MultiStart=false
ObsZone=0,Style=2,R1=3000m,A1=45,Line=1
ObsZone=4,Style=3,R1=3000m,A1=45,Line=1
"Danielson -MA-NY-VT-Jaffrey","???","Sterling Powerline","Danielson","MA-NY-VT ","Jaffrey","Sterling Powerline","???"
Options,Short=false,MultiStart=false
ObsZone=0,Style=2,R1=3000m,A1=45,Line=1
ObsZone=4,Style=3,R1=3000m,A1=45,Line=1
